,category_code,status,country_code,state_code,region,city,funded_year,raised_amount_usd
64335,38,0,18,3,377,843,2013.0," 5,303,380 "
64336,9,1,18,30,331,775,2011.0," 4,000,000 "
64346,21,0,18,18,52,124,2006.0," 8,500,000 "
64347,21,0,18,18,52,124,2005.0," 24,000,000 "
64348,21,0,18,18,52,124,2006.0," 8,500,000 "
64349,21,0,18,18,52,124,2005.0," 24,000,000 "
64350,21,0,18,18,52,124,2006.0," 8,500,000 "
64351,21,0,18,18,52,124,2005.0," 24,000,000 "
64352,21,0,18,18,52,124,2006.0," 8,500,000 "
64353,21,0,18,18,52,124,2005.0," 24,000,000 "
64354,3,1,18,3,377,656,2007.0," 15,000,000 "
64355,3,1,18,3,377,656,2007.0," 15,000,000 "
64356,3,1,18,3,377,656,2007.0," 15,000,000 "
64357,3,0,18,3,377,843,2009.0," 20,000,000 "
64358,3,0,18,3,377,843,2012.0," 30,000,000 "
64359,3,0,18,3,377,843,2009.0," 20,000,000 "
64360,3,0,18,3,377,843,2012.0," 30,000,000 "
64361,3,0,18,3,377,843,2009.0," 20,000,000 "
64362,3,0,18,3,377,843,2012.0," 30,000,000 "
64363,3,0,18,3,377,843,2012.0," 30,000,000 "
64364,3,0,18,3,377,843,2009.0," 20,000,000 "
64365,3,0,18,3,377,843,2012.0," 30,000,000 "
64370,4,0,18,46,419,988,2008.0," 5,000,000 "
64371,4,0,18,46,419,988,2008.0," 18,000,000 "
64372,4,0,18,46,419,988,2008.0," 5,000,000 "
64373,4,0,18,46,419,988,2008.0," 18,000,000 "
64374,4,0,18,46,419,988,2008.0," 5,000,000 "
64375,4,0,18,46,419,988,2008.0," 18,000,000 "
64376,4,0,18,46,419,988,2008.0," 5,000,000 "
64377,4,0,18,46,419,988,2008.0," 18,000,000 "
64378,4,0,18,46,419,988,2008.0," 5,000,000 "
64379,4,0,18,46,419,988,2008.0," 18,000,000 "
64380,4,0,18,46,419,988,2008.0," 5,000,000 "
64382,3,0,18,37,337,114,2012.0," 3,000,000 "
64383,3,0,18,37,337,114,2012.0," 3,000,000 "
64384,12,0,18,3,231,452,2007.0," 16,000,000 "
64385,12,0,18,3,231,452,2007.0," 16,000,000 "
64386,12,0,18,3,231,452,2007.0," 16,000,000 "
64387,12,0,18,3,231,452,2007.0," 16,000,000 "
64388,12,0,18,3,231,452,2007.0," 16,000,000 "
64389,12,0,18,3,231,452,2007.0," 16,000,000 "
64391,38,0,18,3,377,909,2009.0," 1,000,000 "
64392,38,0,18,3,377,909,2009.0," 1,000,000 "
64393,38,0,18,3,377,909,2009.0," 1,000,000 "
64394,38,0,18,3,377,909,2009.0," 1,000,000 "
64395,38,0,18,3,377,909,2009.0," 1,000,000 "
64396,38,0,18,3,377,909,2009.0," 1,000,000 "
64398,19,1,18,21,113,758,2012.0," 7,000,000 "
64399,19,1,18,21,113,758,2012.0," 7,000,000 "
64400,3,0,18,3,377,843,2007.0," 33,000,000 "
64401,3,0,18,3,377,843,2010.0," 70,000,000 "
64402,3,0,18,3,377,843,2012.0," 62,400,000 "
64403,3,0,18,3,377,843,2012.0," 2,600,100 "
64404,3,0,18,3,377,843,2007.0," 33,000,000 "
64405,3,0,18,3,377,843,2007.0," 33,000,000 "
64406,3,0,18,3,377,843,2010.0," 70,000,000 "
64407,3,0,18,3,377,843,2012.0," 62,400,000 "
64408,3,0,18,3,377,843,2007.0," 33,000,000 "
64409,3,0,18,3,377,843,2010.0," 70,000,000 "
64410,3,0,18,3,377,843,2012.0," 62,400,000 "
64411,3,0,18,3,377,843,2007.0," 33,000,000 "
64412,3,0,18,3,377,843,2010.0," 70,000,000 "
64413,3,0,18,3,377,843,2012.0," 62,400,000 "
64414,3,0,18,3,377,843,2012.0," 2,600,100 "
64415,3,0,18,3,377,843,2010.0," 70,000,000 "
64416,3,0,18,3,377,843,2012.0," 62,400,000 "
64417,3,0,18,3,377,843,2012.0," 2,600,100 "
64418,3,0,18,3,377,843,2012.0," 62,400,000 "
64419,3,0,18,3,377,843,2007.0," 33,000,000 "
64420,3,0,18,3,377,843,2010.0," 70,000,000 "
64421,3,0,18,3,377,843,2012.0," 62,400,000 "
64427,30,0,18,42,20,56,2013.0," 100,000 "
64428,30,0,18,42,20,56,2013.0," 100,000 "
64432,14,0,18,41,290,677,2013.0," 50,000 "
64433,14,0,18,41,290,677,2013.0," 50,000 "
64434,14,0,18,41,290,677,2013.0," 50,000 "
64435,38,0,18,43,384,925,2012.0," 6,000,000 "
64436,3,0,18,33,298,691,2014.0," 1,024,440 "
64438,22,0,18,3,377,909,2012.0," 1,000,000 "
64439,22,0,18,3,377,909,2012.0," 1,000,000 "
64440,22,0,18,3,377,909,2013.0," 3,500,000 "
64441,22,0,18,3,377,909,2014.0," 15,000,000 "
64442,22,0,18,3,377,909,2014.0," 15,000,000 "
64443,22,0,18,3,377,909,2013.0," 3,500,000 "
64444,22,0,18,3,377,909,2014.0," 15,000,000 "
64445,22,0,18,3,377,909,2012.0," 1,000,000 "
64446,22,0,18,3,377,909,2012.0," 1,000,000 "
64447,22,0,18,3,377,909,2012.0," 1,000,000 "
64448,22,0,18,3,377,909,2013.0," 3,500,000 "
64449,22,0,18,3,377,909,2012.0," 1,000,000 "
64450,22,0,18,3,377,909,2012.0," 1,000,000 "
64451,22,0,18,3,377,909,2012.0," 1,000,000 "
64452,22,0,18,3,377,909,2012.0," 1,000,000 "
64453,22,0,18,3,377,909,2012.0," 1,000,000 "
64454,22,0,18,3,377,909,2012.0," 1,000,000 "
64455,22,0,18,3,377,909,2013.0," 3,500,000 "
64456,22,0,18,46,400,951,2012.0," 1,650,000 "
64458,22,0,18,46,400,951,2012.0," 1,650,000 "
64459,22,0,18,46,400,951,2014.0," 5,500,000 "
64460,22,0,18,46,400,951,2012.0," 1,650,000 "
64461,22,0,18,46,400,951,2014.0," 5,500,000 "
64462,22,0,18,46,400,951,2014.0," 5,500,000 "
64463,22,0,18,46,400,951,2012.0," 1,650,000 "
64464,22,0,18,46,400,951,2014.0," 5,500,000 "
64465,22,0,18,46,400,951,2012.0," 1,650,000 "
64466,22,0,18,46,400,951,2013.0," 2,600,000 "
64467,22,0,18,46,400,951,2014.0," 5,500,000 "
64468,22,0,18,46,400,951,2012.0," 1,650,000 "
64469,22,0,18,46,400,951,2012.0," 1,650,000 "
64470,22,0,18,46,400,951,2011.0," 750,000 "
64471,22,0,18,46,400,951,2012.0," 1,650,000 "
64472,38,0,18,28,318,747,2006.0," 2,500,000 "
64473,12,0,18,3,377,909,2007.0," 1,000,000 "
64474,12,0,18,3,377,909,2012.0," 4,580,000 "
64476,19,0,18,18,52,1133,2006.0," 7,300,000 "
64477,19,0,18,18,52,1133,2006.0," 7,300,000 "
64480,22,0,18,5,294,686,2008.0," 750,000 "
64481,22,0,18,5,294,686,2007.0," 450,000 "
64482,22,0,18,5,294,686,2008.0," 1,500,000 "
64483,22,0,18,5,294,686,2008.0," 1,500,000 "
64484,3,1,18,3,386,907,2011.0," 67,500,000 "
64485,3,1,18,3,386,907,2011.0," 67,500,000 "
64486,3,1,18,3,386,907,2011.0," 67,500,000 "
64487,3,1,18,3,386,907,2011.0," 67,500,000 "
64488,3,1,18,3,386,907,2011.0," 67,500,000 "
64489,8,1,18,47,496,1165,2014.0," 40,000,000 "
64491,15,0,18,4,109,503,2011.0," 30,000,000 "
64492,3,0,18,38,224,526,2006.0," 40,000,000 "
64493,3,0,18,38,224,526,2006.0," 40,000,000 "
64494,3,0,18,38,224,526,2006.0," 40,000,000 "
64495,3,0,18,38,224,526,2006.0," 40,000,000 "
64496,3,0,18,38,224,526,2006.0," 40,000,000 "
64497,3,0,18,38,224,526,2006.0," 40,000,000 "
64498,3,0,18,38,224,526,2006.0," 40,000,000 "
64499,3,0,18,38,224,526,2006.0," 40,000,000 "
64500,3,0,18,38,224,526,2006.0," 40,000,000 "
64505,4,0,18,14,7,26,2008.0," 198,730,677 "
64506,4,0,18,3,377,736,2009.0," 12,200,000 "
64507,4,0,18,3,377,736,2009.0," 12,200,000 "
64508,4,0,18,3,377,736,2009.0," 12,200,000 "
64510,37,0,18,3,377,843,2006.0," 3,000,000 "
64511,37,0,18,3,377,843,2008.0," 6,000,000 "
64512,37,0,18,3,377,843,2008.0," 6,000,000 "
64513,37,0,18,3,377,843,2006.0," 3,000,000 "
64514,4,0,18,9,15,475,2012.0," 75,000,000 "
64515,4,0,18,9,15,475,2012.0," 75,000,000 "
64516,4,0,18,9,15,475,2012.0," 75,000,000 "
64517,3,0,18,3,377,605,2009.0," 16,333,333 "
64518,3,0,18,3,377,605,2009.0," 16,333,333 "
64519,3,0,18,47,12,37,2006.0," 1,200,000 "
64520,3,0,18,47,12,37,2006.0," 1,200,000 "
64521,20,0,18,3,377,915,2014.0," 1,150,000 "
64522,20,0,18,3,377,915,2014.0," 1,150,000 "
64523,20,0,18,3,377,915,2014.0," 1,150,000 "
64524,20,0,18,3,377,915,2014.0," 1,150,000 "
64525,20,0,18,3,377,915,2014.0," 1,150,000 "
