,category_code,status,country_code,state_code,region,city,funding_round_type
31706,42,1,23,34,482,1352,0
31697,0,3,23,34,482,1352,0
31696,0,3,23,34,482,1352,0
31693,9,3,23,4,373,282,0
31587,23,3,23,34,482,1352,0
32098,38,0,23,4,625,1792,0
32079,10,3,23,4,373,1787,0
32103,23,1,23,4,373,1832,0
32059,7,3,23,4,625,1807,0
32058,7,3,23,4,625,1807,0
32057,7,3,23,4,625,1807,0
32056,37,3,23,4,373,1080,0
32047,0,3,23,23,430,1948,0
32046,42,1,23,19,78,1904,0
32067,15,3,23,5,378,1086,0
32045,42,1,23,19,78,1904,0
32113,25,3,23,45,778,2022,0
32119,22,3,23,34,482,1352,0
32252,15,3,23,19,78,231,0
32196,30,0,23,4,625,1512,0
32189,14,3,23,4,625,1792,0
32186,38,1,23,43,31,105,0
32118,22,3,23,34,482,1352,0
32176,42,3,23,19,78,1043,0
32175,1,0,23,37,576,1591,0
32171,22,3,23,47,667,1860,0
32170,42,0,23,34,482,1352,0
32148,9,3,23,44,640,538,0
32126,35,3,23,4,625,1792,0
32125,38,3,23,10,23,93,0
32124,38,3,23,10,23,93,0
32042,5,3,23,38,557,1558,0
32024,16,3,23,34,482,1352,0
31970,35,3,23,4,625,1792,0
31957,30,0,23,4,625,1285,0
31955,0,0,23,4,625,1792,0
31952,42,3,23,14,126,383,0
31950,22,0,23,34,482,1352,0
31949,8,3,23,33,596,1658,0
31971,10,3,23,34,482,1352,0
31925,22,3,23,4,625,253,0
31923,42,3,23,45,778,1034,0
31918,37,3,23,5,171,233,0
31917,37,3,23,5,171,233,0
31973,1,3,23,31,477,1344,0
32020,0,3,23,38,555,2193,0
32017,8,0,23,34,482,1352,0
32010,9,1,23,10,23,93,0
32008,0,3,23,4,373,1080,0
32007,22,1,23,4,625,1656,0
32005,42,1,23,34,482,271,0
32002,22,0,23,4,625,1285,0
31999,23,3,23,4,373,1080,0
31994,42,3,23,19,78,321,0
31989,1,3,23,43,164,491,0
31988,0,3,23,45,778,81,0
31985,42,3,23,4,625,1792,0
31982,7,3,23,4,625,1285,0
31981,22,3,23,47,667,1860,0
31978,42,3,23,4,625,1792,0
31977,7,3,23,34,482,1352,0
31976,25,3,23,4,625,1792,0
31992,14,3,23,4,625,1807,0
31573,8,3,23,42,469,1325,0
31569,9,1,23,4,625,2006,0
31030,42,3,23,4,625,1792,0
31020,42,1,23,34,482,1318,0
31007,42,3,23,34,482,1352,0
30986,42,1,23,34,482,1352,0
30977,22,3,23,19,78,231,0
30973,37,3,23,4,373,1832,0
31033,0,0,23,34,482,1352,0
30962,42,3,23,19,78,231,0
30957,22,3,23,4,625,1792,0
30955,22,3,23,4,625,1792,0
30938,22,3,23,3,556,1548,0
30937,4,3,23,35,133,398,0
30927,38,3,23,4,625,1792,0
31035,7,3,23,4,625,1792,0
31040,24,3,23,4,625,1434,0
31136,42,3,23,47,667,1860,0
31134,42,3,23,47,667,1860,0
31129,37,3,23,20,778,877,0
31036,7,3,23,4,625,1792,0
31118,10,3,23,34,482,1352,0
31092,23,3,23,31,663,1852,0
31077,42,3,23,7,778,2167,0
31076,22,3,23,6,92,258,0
31059,22,3,23,43,31,21,0
31116,3,3,23,19,78,321,0
31141,16,3,23,19,78,321,0
30827,42,3,23,4,648,1823,0
30826,42,3,23,4,648,1823,0
30824,26,3,23,4,373,1832,0
30823,41,3,23,34,482,1352,0
30821,7,3,23,34,482,1352,0
30812,7,3,23,34,482,1352,0
30807,23,3,23,34,482,271,0
30796,14,1,23,39,581,1606,0
30810,22,3,23,4,625,1792,0
30833,37,3,23,6,143,423,0
30909,42,3,23,19,78,231,0
30908,42,3,23,19,78,231,0
30907,42,3,23,19,78,231,0
30903,38,3,23,10,23,45,0
30901,22,3,23,4,642,1788,0
30890,12,1,23,4,625,1792,0
30889,17,3,23,4,625,1792,0
30832,37,3,23,6,143,423,0
30877,17,3,23,4,625,1197,0
30865,28,3,23,34,482,1352,0
30864,38,3,23,38,557,1558,0
30859,38,3,23,4,625,1792,0
30858,38,3,23,4,625,1792,0
30852,9,3,23,22,175,525,0
30851,9,3,23,22,175,525,0
30885,9,0,23,4,625,1285,0
31142,37,3,23,4,373,1525,0
31460,37,3,23,37,576,1591,0
31456,17,3,23,34,482,1309,0
31455,14,3,23,4,625,1800,0
31463,37,3,23,37,576,1591,0
31428,42,3,23,4,625,1285,0
31427,42,3,23,4,625,1285,0
31426,8,3,23,19,78,231,0
31425,41,1,23,34,482,271,0
31423,22,3,23,35,128,388,0
31409,16,3,23,4,625,1512,0
31406,9,3,23,47,667,1860,0
31473,42,3,23,4,373,1832,0
31564,0,3,23,4,625,1792,0
31549,21,3,23,9,417,1207,0
31541,42,3,23,4,625,1792,0
31533,38,3,23,4,642,1788,0
31528,23,3,23,47,667,1860,0
31523,42,1,23,34,482,1352,0
31516,15,3,23,20,778,193,0
31503,22,3,23,33,347,1021,0
31499,42,0,23,4,373,59,0
31496,42,0,23,4,373,1080,0
31487,15,3,23,4,625,1792,0
31482,14,3,23,34,482,1352,0
31511,15,3,23,4,726,217,0
31405,9,3,23,47,667,1860,0
31214,22,3,23,14,126,383,0
31213,14,3,23,35,148,431,0
31244,9,3,23,9,537,217,0
31187,0,3,23,4,625,1792,0
31186,0,3,23,4,625,1792,0
31185,0,3,23,4,625,1792,0
31167,15,3,23,47,667,172,0
31256,38,3,23,9,235,674,0
31377,36,3,23,38,557,1558,0
31371,38,3,23,5,171,233,0
31367,4,3,23,4,625,2006,0
31361,15,3,23,30,390,1144,0
31348,38,3,23,45,778,2119,0
31347,38,3,23,45,778,2119,0
31330,0,3,23,4,844,31,0
31307,38,3,23,47,667,1860,0
31300,42,1,23,4,625,1668,0
31273,19,3,23,19,78,321,0
31265,3,3,23,4,625,1923,0
29426,12,3,23,34,482,1352,0
29419,37,3,23,4,625,1800,0
29415,42,3,23,10,23,93,0
26987,3,3,23,20,36,142,0
26969,20,3,23,38,555,1547,0
26962,0,3,23,4,625,1798,0
26961,0,3,23,4,625,1798,0
26954,30,0,23,4,625,1792,0
26993,0,1,23,4,625,2006,0
26953,42,1,23,18,479,1347,0
26949,11,3,9,47,667,958,0
26947,18,3,23,4,625,1792,0
26943,42,0,23,34,482,1352,0
26936,42,3,23,42,469,1325,0
26921,11,3,23,5,171,233,0
26951,8,3,23,4,625,1792,0
26920,3,3,23,31,580,1602,0
27160,28,3,23,47,667,1860,0
27142,4,3,23,34,482,271,0
27141,4,3,23,34,482,271,0
27106,3,3,23,47,667,1860,0
27090,35,3,23,20,36,142,0
27089,35,3,23,20,36,142,0
26996,0,3,23,4,643,1790,0
27088,12,0,23,19,78,321,0
27020,42,3,23,41,679,1891,0
27009,38,3,23,35,133,398,0
27008,38,3,23,35,133,398,0
27003,22,0,23,34,482,1352,0
27000,22,0,23,34,482,1352,0
26999,38,3,23,34,482,1352,0
27074,15,3,23,20,778,1474,0
26908,9,3,23,34,482,1352,0
26788,11,3,23,4,625,1792,0
26717,38,3,23,17,377,1085,0
26714,15,3,23,6,225,655,0
26709,22,3,23,43,31,105,0
26789,11,3,23,4,625,1792,0
26674,35,3,23,38,557,1558,0
26635,37,1,23,4,625,1792,0
26634,7,3,23,4,625,1800,0
26622,22,3,23,35,148,431,0
26605,3,3,23,32,3,34,0
26598,22,3,23,4,625,1792,0
26880,1,3,23,19,78,321,0
26875,38,3,23,10,23,93,0
26874,38,3,23,10,23,93,0
